Experiment No.,brain area,AP position (um),Area (um^2),Thresholded Area,Percent Thresholded Area,Peak density (50x50um^2)
1958,LGd,-2.07,336886.09,49.93,0.01,1.53
1958,LGv,-2.07,231840.46,5826.35,2.51,36.48
1958,LP,-2.07,409275.86,4116.93,1.01,23.83
1958,control,-2.07,418089.09,0.84,0,NaN
1958,LGd,-1.97,325035.5,764.24,0.24,8.59
1958,LGv,-1.97,112485.55,14561.86,12.95,79.63
1958,LP,-1.97,518002.52,23874.22,4.61,4.82
1958,control,-1.97,400571.03,48.6,0.01,NaN
1958,LGd,-1.87,198538.69,358.66,0.18,3.33
1958,LGv,-1.87,66327.08,2222.28,3.35,20.28
1958,LP,-1.87,827457.38,10739.24,1.3,29.47
1958,control,-1.87,475890.04,3.22,0,NaN
1958,PBG,-4.07,65036.68,1139.92,1.75,11.68
1958,PBG,-4.17,53793.877,743.554,1.38,5.76
1958,PBG,-4.27,35789.676,886.768,2.48,7.42
1957,LGd,-2.07,387430.474,29.545,0.01,NaN
1957,LGv,-2.07,126727.811,3695.391,2.92,37.68
1957,LP,-2.07,563501.385,1960.149,0.35,5.17
1957,control,-2.07,254005.58,0.055,0,NaN
1957,LGd,-1.87,391047.41,427.572,0.11,3.82
1957,LGv,-1.87,98597.453,14546.586,14.75,65.92
1957,LP,-1.87,578902.063,12653.439,2.19,9.09
1957,control,-1.87,270246.686,5.975,0,NaN
1957,LGd,-2.27,389387.608,10.821,0,NaN
1957,LGv,-2.27,175467.974,2140.511,1.22,16.59
1957,LP,-2.27,421955.756,949.435,0.23,1.29
1957,control,-2.27,274026.84,2.488,0,NaN
1957,LGd,-2.37,370388.721,65.387,0.02,NaN
1957,LGv,-2.37,230057.948,5776.868,2.51,37.38
1957,LP,-2.37,457382.162,3454.895,0.76,4.27
1957,control,-2.37,132413.914,11.457,0.01,NaN
1957,PBG,-4.07,16410.78,651.258,3.97,8.12
1957,PBG,-4.17,98559.737,2073.474,2.1,6.75
1954,LGd,-2.47,315124.745,394.229,0.13,NaN
1954,LGv,-2.47,226758.997,4126.698,1.82,40.68
1954,LP,-2.47,314797.812,1078.414,0.34,1.35
1954,control,-2.47,317532.588,163.64,0.05,NaN
1954,LGd,-2.57,261539.292,108.727,0.04,NaN
1954,LGv,-2.57,242917.506,603.986,0.25,5.85
1954,LP,-2.57,290129.279,506.832,0.17,1.11
1954,control,-2.57,218276.574,21.005,0.01,NaN
1954,PBG,-4.17,51700.468,2422.194,4.69,10.9
1954,PBG,-4.27,28037.441,2239.574,7.99,17.15
1933,LGd,-2.37,351096.376,1076.674,0.31,4.72
1933,LGv,-2.37,266104.99,10075.375,3.79,80.75
1933,LP,-2.37,226155.886,1827.06,0.81,3.29
1933,control,-2.37,128394.473,19.51,0.02,NaN
1933,LGd,-2.47,415733.373,1076.674,0.26,3.37
1933,LGv,-2.47,221774.8,10075.375,4.54,19.41
1933,LP,-2.47,327678.012,1827.06,0.56,NaN
1933,control,-2.47,131886.997,19.51,0.01,NaN
1933,PBG,-4.17,51034.151,2480.21,4.86,16.9
